P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( knicked | Deceptive Negative) = 3.89749585891e-05
P( explaining | Truthful Negative) = 3.86301740289e-05
P( explaining | Truthful Positive) = 2.63289539507e-05
P( helpfull | Deceptive Negative) = 1.94874792946e-05
P( helpfull | Deceptive Positive) = 5.74943942966e-05
P( helpfull | Truthful Negative) = 1.93150870145e-05
P( helpfull | Truthful Positive) = 5.26579079013e-05
P( lend | Deceptive Negative) = 3.89749585891e-05
P( lend | Deceptive Positive) = 5.74943942966e-05
P( lend | Truthful Negative) = 1.93150870145e-05
P( lend | Truthful Positive) = 2.63289539507e-05
P( favourite | Deceptive Negative) = 1.94874792946e-05
P( favourite | Deceptive Positive) = 2.87471971483e-05
P( favourite | Truthful Negative) = 1.93150870145e-05
P( favourite | Truthful Positive) = 7.8986861852e-05
P( prepared | Deceptive Negative) = 7.79499171782e-05
P( prepared | Deceptive Positive) = 8.62415914448e-05
P( prepared | Truthful Negative) = 7.72603480579e-05
P( prepared | Truthful Positive) = 0.000157973723704
P( guy's | Deceptive Negative) = 3.89749585891e-05
P( guy's | Deceptive Positive) = 2.87471971483e-05
P( guy's | Truthful Negative) = 1.93150870145e-05
P( guy's | Truthful Positive) = 2.63289539507e-05
P( cater | Deceptive Negative) = 5.84624378837e-05
P( cater | Deceptive Positive) = 2.87471971483e-05
P( cater | Truthful Negative) = 3.86301740289e-05
P( cater | Truthful Positive) = 2.63289539507e-05
P( utterly | Deceptive Negative) = 1.94874792946e-05
P( utterly | Deceptive Positive) = 5.74943942966e-05
P( utterly | Truthful Negative) = 1.93150870145e-05
P( utterly | Truthful Positive) = 2.63289539507e-05
P( helpfuly | Deceptive Negative) = 1.94874792946e-05
P( helpfuly | Deceptive Positive) = 2.87471971483e-05
P( helpfuly | Truthful Negative) = 1.93150870145e-05
P( helpfuly | Truthful Positive) = 5.26579079013e-05
P( entertaining | Deceptive Negative) = 1.94874792946e-05
P( entertaining | Deceptive Positive) = 2.87471971483e-05
P( entertaining | Truthful Negative) = 3.86301740289e-05
P( entertaining | Truthful Positive) = 2.63289539507e-05
P( wanted--a | Deceptive Negative) = 1.94874792946e-05
P( wanted--a | Deceptive Positive) = 2.87471971483e-05
P( wanted--a | Truthful Negative) = 1.93150870145e-05
P( wanted--a | Truthful Positive) = 5.26579079013e-05
P( overlooking | Deceptive Negative) = 3.89749585891e-05
P( overlooking | Deceptive Positive) = 5.74943942966e-05
P( overlooking | Truthful Negative) = 3.86301740289e-05
P( overlooking | Truthful Positive) = 0.000105315815803
P( scuffed | Deceptive Negative) = 1.94874792946e-05
P( scuffed | Deceptive Positive) = 2.87471971483e-05
P( scuffed | Truthful Negative) = 3.86301740289e-05
P( scuffed | Truthful Positive) = 2.63289539507e-05
P( appalling | Deceptive Negative) = 1.94874792946e-05
P( appalling | Deceptive Positive) = 2.87471971483e-05
P( appalling | Truthful Negative) = 3.86301740289e-05
P( appalling | Truthful Positive) = 2.63289539507e-05
P( cooked | Deceptive Negative) = 7.79499171782e-05
P( cooked | Deceptive Positive) = 8.62415914448e-05
P( cooked | Truthful Negative) = 3.86301740289e-05
P( cooked | Truthful Positive) = 2.63289539507e-05
P( in-room | Deceptive Negative) = 1.94874792946e-05
P( in-room | Deceptive Positive) = 0.000114988788593
P( in-room | Truthful Negative) = 0.00017383578313
P( in-room | Truthful Positive) = 7.8986861852e-05
P( courtiest | Deceptive Negative) = 1.94874792946e-05
P( courtiest | Deceptive Positive) = 2.87471971483e-05
P( courtiest | Truthful Negative) = 1.93150870145e-05
P( courtiest | Truthful Positive) = 5.26579079013e-05
P( decidedly | Deceptive Negative) = 1.94874792946e-05
P( decidedly | Deceptive Positive) = 2.87471971483e-05
P( decidedly | Truthful Negative) = 3.86301740289e-05
P( decidedly | Truthful Positive) = 2.63289539507e-05
P( hypo-allergenic | Deceptive Negative) = 5.84624378837e-05
P( hypo-allergenic | Deceptive Positive) = 0.000114988788593
P( hypo-allergenic | Truthful Negative) = 1.93150870145e-05
P( hypo-allergenic | Truthful Positive) = 2.63289539507e-05
P( chriskindl | Deceptive Negative) = 1.94874792946e-05
P( chriskindl | Deceptive Positive) = 2.87471971483e-05
P( chriskindl | Truthful Negative) = 1.93150870145e-05
P( chriskindl | Truthful Positive) = 5.26579079013e-05
P( extensively | Deceptive Negative) = 1.94874792946e-05
P( extensively | Deceptive Positive) = 2.87471971483e-05
P( extensively | Truthful Negative) = 7.72603480579e-05
P( extensively | Truthful Positive) = 2.63289539507e-05
P( groceries | Deceptive Negative) = 3.89749585891e-05
P( groceries | Deceptive Positive) = 2.87471971483e-05
P( groceries | Truthful Negative) = 1.93150870145e-05
P( groceries | Truthful Positive) = 5.26579079013e-05
P( grays | Deceptive Negative) = 1.94874792946e-05
P( grays | Deceptive Positive) = 2.87471971483e-05
P( grays | Truthful Negative) = 1.93150870145e-05
P( grays | Truthful Positive) = 5.26579079013e-05
P( masculine | Deceptive Negative) = 1.94874792946e-05
P( masculine | Deceptive Positive) = 2.87471971483e-05
P( masculine | Truthful Negative) = 1.93150870145e-05
P( masculine | Truthful Positive) = 5.26579079013e-05
P( ambience | Deceptive Negative) = 1.94874792946e-05
P( ambience | Deceptive Positive) = 2.87471971483e-05
P( ambience | Truthful Negative) = 9.65754350723e-05
P( ambience | Truthful Positive) = 2.63289539507e-05
P( pleasing | Deceptive Negative) = 1.94874792946e-05
P( pleasing | Deceptive Positive) = 5.74943942966e-05
P( pleasing | Truthful Negative) = 3.86301740289e-05
P( pleasing | Truthful Positive) = 0.000105315815803
P( random | Deceptive Negative) = 3.89749585891e-05
P( random | Deceptive Positive) = 2.87471971483e-05
P( random | Truthful Negative) = 3.86301740289e-05
P( random | Truthful Positive) = 2.63289539507e-05
P( dessert | Deceptive Negative) = 3.89749585891e-05
P( dessert | Deceptive Positive) = 5.74943942966e-05
P( dessert | Truthful Negative) = 7.72603480579e-05
P( dessert | Truthful Positive) = 2.63289539507e-05
P( non-allergenic | Deceptive Negative) = 1.94874792946e-05
P( non-allergenic | Deceptive Positive) = 2.87471971483e-05
P( non-allergenic | Truthful Negative) = 1.93150870145e-05
P( non-allergenic | Truthful Positive) = 5.26579079013e-05
P( putting | Deceptive Negative) = 1.94874792946e-05
P( putting | Deceptive Positive) = 2.87471971483e-05
P( putting | Truthful Negative) = 5.79452610434e-05
P( putting | Truthful Positive) = 5.26579079013e-05
P( arrange | Deceptive Negative) = 5.84624378837e-05
P( arrange | Deceptive Positive) = 5.74943942966e-05
P( arrange | Truthful Negative) = 3.86301740289e-05
P( arrange | Truthful Positive) = 5.26579079013e-05
P( severely | Deceptive Negative) = 0.000136412355062
P( severely | Deceptive Positive) = 2.87471971483e-05
P( severely | Truthful Negative) = 7.72603480579e-05
P( severely | Truthful Positive) = 2.63289539507e-05
P( prefect | Deceptive Negative) = 1.94874792946e-05
P( prefect | Deceptive Positive) = 2.87471971483e-05
P( prefect | Truthful Negative) = 1.93150870145e-05
P( prefect | Truthful Positive) = 5.26579079013e-05
P( staffs | Deceptive Negative) = 3.89749585891e-05
P( staffs | Deceptive Positive) = 2.87471971483e-05
P( staffs | Truthful Negative) = 1.93150870145e-05
P( staffs | Truthful Positive) = 2.63289539507e-05
P( mesmerizing | Deceptive Negative) = 1.94874792946e-05
P( mesmerizing | Deceptive Positive) = 5.74943942966e-05
P( mesmerizing | Truthful Negative) = 1.93150870145e-05
P( mesmerizing | Truthful Positive) = 2.63289539507e-05
P( dimed | Deceptive Negative) = 1.94874792946e-05
P( dimed | Deceptive Positive) = 2.87471971483e-05
P( dimed | Truthful Negative) = 3.86301740289e-05
P( dimed | Truthful Positive) = 2.63289539507e-05
P( conviences | Deceptive Negative) = 1.94874792946e-05
P( conviences | Deceptive Positive) = 2.87471971483e-05
P( conviences | Truthful Negative) = 1.93150870145e-05
P( conviences | Truthful Positive) = 5.26579079013e-05
P( busier | Deceptive Negative) = 1.94874792946e-05
P( busier | Deceptive Positive) = 2.87471971483e-05
P( busier | Truthful Negative) = 1.93150870145e-05
P( busier | Truthful Positive) = 5.26579079013e-05
P( joes | Deceptive Negative) = 1.94874792946e-05
P( joes | Deceptive Positive) = 2.87471971483e-05
P( joes | Truthful Negative) = 1.93150870145e-05
P( joes | Truthful Positive) = 5.26579079013e-05
P( refer | Deceptive Negative) = 1.94874792946e-05
P( refer | Deceptive Positive) = 2.87471971483e-05
P( refer | Truthful Negative) = 7.72603480579e-05
P( refer | Truthful Positive) = 2.63289539507e-05
P( unsatisfied | Deceptive Negative) = 5.84624378837e-05
P( unsatisfied | Deceptive Positive) = 2.87471971483e-05
P( unsatisfied | Truthful Negative) = 1.93150870145e-05
P( unsatisfied | Truthful Positive) = 2.63289539507e-05
P( bleeding | Deceptive Negative) = 1.94874792946e-05
P( bleeding | Deceptive Positive) = 2.87471971483e-05
P( bleeding | Truthful Negative) = 3.86301740289e-05
P( bleeding | Truthful Positive) = 2.63289539507e-05
P( fortuneatly | Deceptive Negative) = 1.94874792946e-05
P( fortuneatly | Deceptive Positive) = 2.87471971483e-05
P( fortuneatly | Truthful Negative) = 3.86301740289e-05
P( fortuneatly | Truthful Positive) = 2.63289539507e-05
P( rivers | Deceptive Negative) = 3.89749585891e-05
P( rivers | Deceptive Positive) = 2.87471971483e-05
P( rivers | Truthful Negative) = 1.93150870145e-05
P( rivers | Truthful Positive) = 2.63289539507e-05
P( layouts | Deceptive Negative) = 1.94874792946e-05
P( layouts | Deceptive Positive) = 5.74943942966e-05
P( layouts | Truthful Negative) = 1.93150870145e-05
P( layouts | Truthful Positive) = 2.63289539507e-05
P( uncomfortable | Deceptive Negative) = 0.000194874792946
P( uncomfortable | Deceptive Positive) = 2.87471971483e-05
P( uncomfortable | Truthful Negative) = 0.000328356479246
P( uncomfortable | Truthful Positive) = 2.63289539507e-05
P( backaches | Deceptive Negative) = 3.89749585891e-05
P( backaches | Deceptive Positive) = 2.87471971483e-05
P( backaches | Truthful Negative) = 1.93150870145e-05
P( backaches | Truthful Positive) = 2.63289539507e-05
P( myspa | Deceptive Negative) = 1.94874792946e-05
P( myspa | Deceptive Positive) = 8.62415914448e-05
P( myspa | Truthful Negative) = 1.93150870145e-05
P( myspa | Truthful Positive) = 2.63289539507e-05
P( chicago | Deceptive Negative) = 0.00543700672318
P( chicago | Deceptive Positive) = 0.00940033346749
P( chicago | Truthful Negative) = 0.00206671431055
P( chicago | Truthful Positive) = 0.00492351438877
P( giving | Deceptive Negative) = 3.89749585891e-05
P( giving | Deceptive Positive) = 5.74943942966e-05
P( giving | Truthful Negative) = 0.000115890522087
P( giving | Truthful Positive) = 7.8986861852e-05
P( assisted | Deceptive Negative) = 3.89749585891e-05
P( assisted | Deceptive Positive) = 2.87471971483e-05
P( assisted | Truthful Negative) = 1.93150870145e-05
P( assisted | Truthful Positive) = 5.26579079013e-05
P( inconveniences | Deceptive Negative) = 3.89749585891e-05
P( inconveniences | Deceptive Positive) = 2.87471971483e-05
P( inconveniences | Truthful Negative) = 3.86301740289e-05
P( inconveniences | Truthful Positive) = 2.63289539507e-05
P( access | Deceptive Negative) = 0.00021436227224
P( access | Deceptive Positive) = 0.000431207957224
P( access | Truthful Negative) = 0.000212465957159
P( access | Truthful Positive) = 0.00039493430926
P( anywhere | Deceptive Negative) = 7.79499171782e-05
P( anywhere | Deceptive Positive) = 5.74943942966e-05
P( anywhere | Truthful Negative) = 9.65754350723e-05
P( anywhere | Truthful Positive) = 0.000210631631605
P( cleanin | Deceptive Negative) = 3.89749585891e-05
P( cleanin | Deceptive Positive) = 2.87471971483e-05
P( cleanin | Truthful Negative) = 1.93150870145e-05
P( cleanin | Truthful Positive) = 2.63289539507e-05
P( exercise | Deceptive Negative) = 7.79499171782e-05
P( exercise | Deceptive Positive) = 0.000143735985741
P( exercise | Truthful Negative) = 1.93150870145e-05
P( exercise | Truthful Positive) = 2.63289539507e-05
P( body | Deceptive Negative) = 3.89749585891e-05
P( body | Deceptive Positive) = 0.000143735985741
P( body | Truthful Negative) = 3.86301740289e-05
P( body | Truthful Positive) = 2.63289539507e-05
P( exchange | Deceptive Negative) = 5.84624378837e-05
P( exchange | Deceptive Positive) = 2.87471971483e-05
P( exchange | Truthful Negative) = 1.93150870145e-05
P( exchange | Truthful Positive) = 2.63289539507e-05
P( apologetic | Deceptive Negative) = 5.84624378837e-05
P( apologetic | Deceptive Positive) = 2.87471971483e-05
P( apologetic | Truthful Negative) = 3.86301740289e-05
P( apologetic | Truthful Positive) = 5.26579079013e-05
P( nonexistent | Deceptive Negative) = 3.89749585891e-05
P( nonexistent | Deceptive Positive) = 2.87471971483e-05
P( nonexistent | Truthful Negative) = 3.86301740289e-05
P( nonexistent | Truthful Positive) = 2.63289539507e-05
P( packing | Deceptive Negative) = 1.94874792946e-05
P( packing | Deceptive Positive) = 2.87471971483e-05
P( packing | Truthful Negative) = 5.79452610434e-05
P( packing | Truthful Positive) = 2.63289539507e-05
P( sink | Deceptive Negative) = 0.00021436227224
P( sink | Deceptive Positive) = 5.74943942966e-05
P( sink | Truthful Negative) = 0.00017383578313
P( sink | Truthful Positive) = 0.000105315815803
P( others | Deceptive Negative) = 7.79499171782e-05
P( others | Deceptive Positive) = 0.000143735985741
P( others | Truthful Negative) = 0.000193150870145
P( others | Truthful Positive) = 0.000315947447408
P( extreme | Deceptive Negative) = 3.89749585891e-05
P( extreme | Deceptive Positive) = 5.74943942966e-05
P( extreme | Truthful Negative) = 3.86301740289e-05
P( extreme | Truthful Positive) = 2.63289539507e-05
P( remark | Deceptive Negative) = 1.94874792946e-05
P( remark | Deceptive Positive) = 5.74943942966e-05
P( remark | Truthful Negative) = 1.93150870145e-05
P( remark | Truthful Positive) = 2.63289539507e-05
P( honor | Deceptive Negative) = 1.94874792946e-05
P( honor | Deceptive Positive) = 2.87471971483e-05
P( honor | Truthful Negative) = 0.000193150870145
P( honor | Truthful Positive) = 5.26579079013e-05
P( named | Deceptive Negative) = 3.89749585891e-05
P( named | Deceptive Positive) = 2.87471971483e-05
P( named | Truthful Negative) = 3.86301740289e-05
P( named | Truthful Positive) = 0.000131644769753
P( vips | Deceptive Negative) = 3.89749585891e-05
P( vips | Deceptive Positive) = 2.87471971483e-05
P( vips | Truthful Negative) = 1.93150870145e-05
P( vips | Truthful Positive) = 2.63289539507e-05
P( presidents | Deceptive Negative) = 3.89749585891e-05
P( presidents | Deceptive Positive) = 2.87471971483e-05
P( presidents | Truthful Negative) = 1.93150870145e-05
P( presidents | Truthful Positive) = 5.26579079013e-05
P( private | Deceptive Negative) = 1.94874792946e-05
P( private | Deceptive Positive) = 5.74943942966e-05
P( private | Truthful Negative) = 5.79452610434e-05
P( private | Truthful Positive) = 2.63289539507e-05
P( towners | Deceptive Negative) = 1.94874792946e-05
P( towners | Deceptive Positive) = 2.87471971483e-05
P( towners | Truthful Negative) = 3.86301740289e-05
P( towners | Truthful Positive) = 2.63289539507e-05
P( factory-like | Deceptive Negative) = 1.94874792946e-05
P( factory-like | Deceptive Positive) = 2.87471971483e-05
P( factory-like | Truthful Negative) = 1.93150870145e-05
P( factory-like | Truthful Positive) = 5.26579079013e-05
P( decrease | Deceptive Negative) = 1.94874792946e-05
P( decrease | Deceptive Positive) = 2.87471971483e-05
P( decrease | Truthful Negative) = 3.86301740289e-05
P( decrease | Truthful Positive) = 2.63289539507e-05
P( limo | Deceptive Negative) = 1.94874792946e-05
P( limo | Deceptive Positive) = 5.74943942966e-05
P( limo | Truthful Negative) = 1.93150870145e-05
P( limo | Truthful Positive) = 2.63289539507e-05
P( movies-on-demand | Deceptive Negative) = 1.94874792946e-05
P( movies-on-demand | Deceptive Positive) = 2.87471971483e-05
P( movies-on-demand | Truthful Negative) = 3.86301740289e-05
P( movies-on-demand | Truthful Positive) = 2.63289539507e-05
P( chi | Deceptive Negative) = 1.94874792946e-05
P( chi | Deceptive Positive) = 8.62415914448e-05
P( chi | Truthful Negative) = 1.93150870145e-05
P( chi | Truthful Positive) = 5.26579079013e-05
P( totality | Deceptive Negative) = 1.94874792946e-05
P( totality | Deceptive Positive) = 5.74943942966e-05
P( totality | Truthful Negative) = 1.93150870145e-05
P( totality | Truthful Positive) = 2.63289539507e-05
P( invoting | Deceptive Negative) = 1.94874792946e-05
P( invoting | Deceptive Positive) = 5.74943942966e-05
P( invoting | Truthful Negative) = 1.93150870145e-05
P( invoting | Truthful Positive) = 2.63289539507e-05
P( themselves | Deceptive Negative) = 9.74373964728e-05
P( themselves | Deceptive Positive) = 8.62415914448e-05
P( themselves | Truthful Negative) = 5.79452610434e-05
P( themselves | Truthful Positive) = 7.8986861852e-05
P( prized | Deceptive Negative) = 1.94874792946e-05
P( prized | Deceptive Positive) = 2.87471971483e-05
P( prized | Truthful Negative) = 1.93150870145e-05
P( prized | Truthful Positive) = 5.26579079013e-05
P( upcoming | Deceptive Negative) = 1.94874792946e-05
P( upcoming | Deceptive Positive) = 2.87471971483e-05
P( upcoming | Truthful Negative) = 7.72603480579e-05
P( upcoming | Truthful Positive) = 2.63289539507e-05
P( spaffina | Deceptive Negative) = 1.94874792946e-05
P( spaffina | Deceptive Positive) = 5.74943942966e-05
P( spaffina | Truthful Negative) = 1.93150870145e-05
P( spaffina | Truthful Positive) = 2.63289539507e-05
P( kiosk | Deceptive Negative) = 1.94874792946e-05
P( kiosk | Deceptive Positive) = 5.74943942966e-05
P( kiosk | Truthful Negative) = 1.93150870145e-05
P( kiosk | Truthful Positive) = 2.63289539507e-05
P( train | Deceptive Negative) = 3.89749585891e-05
P( train | Deceptive Positive) = 2.87471971483e-05
P( train | Truthful Negative) = 9.65754350723e-05
P( train | Truthful Positive) = 0.000157973723704
P( ashamed | Deceptive Negative) = 3.89749585891e-05
P( ashamed | Deceptive Positive) = 2.87471971483e-05
P( ashamed | Truthful Negative) = 3.86301740289e-05
P( ashamed | Truthful Positive) = 2.63289539507e-05
P( tattered | Deceptive Negative) = 3.89749585891e-05
P( tattered | Deceptive Positive) = 2.87471971483e-05
P( tattered | Truthful Negative) = 3.86301740289e-05
P( tattered | Truthful Positive) = 2.63289539507e-05
P( arranging | Deceptive Negative) = 1.94874792946e-05
P( arranging | Deceptive Positive) = 2.87471971483e-05
P( arranging | Truthful Negative) = 1.93150870145e-05
P( arranging | Truthful Positive) = 5.26579079013e-05
P( billed | Deceptive Negative) = 5.84624378837e-05
P( billed | Deceptive Positive) = 2.87471971483e-05
P( billed | Truthful Negative) = 9.65754350723e-05
P( billed | Truthful Positive) = 2.63289539507e-05
P( account | Deceptive Negative) = 9.74373964728e-05
P( account | Deceptive Positive) = 2.87471971483e-05
P( account | Truthful Negative) = 0.000193150870145
P( account | Truthful Positive) = 2.63289539507e-05
P( f | Deceptive Negative) = 1.94874792946e-05
P( f | Deceptive Positive) = 2.87471971483e-05
P( f | Truthful Negative) = 3.86301740289e-05
P( f | Truthful Positive) = 2.63289539507e-05
P( tunnel | Deceptive Negative) = 1.94874792946e-05
P( tunnel | Deceptive Positive) = 2.87471971483e-05
P( tunnel | Truthful Negative) = 3.86301740289e-05
P( tunnel | Truthful Positive) = 2.63289539507e-05
P( couldn,t | Deceptive Negative) = 1.94874792946e-05
P( couldn,t | Deceptive Positive) = 2.87471971483e-05
P( couldn,t | Truthful Negative) = 1.93150870145e-05
P( couldn,t | Truthful Positive) = 5.26579079013e-05
P( obvious | Deceptive Negative) = 3.89749585891e-05
P( obvious | Deceptive Positive) = 5.74943942966e-05
P( obvious | Truthful Negative) = 3.86301740289e-05
P( obvious | Truthful Positive) = 2.63289539507e-05
P( praise | Deceptive Negative) = 1.94874792946e-05
P( praise | Deceptive Positive) = 2.87471971483e-05
P( praise | Truthful Negative) = 1.93150870145e-05
P( praise | Truthful Positive) = 5.26579079013e-05
P( closing | Deceptive Negative) = 1.94874792946e-05
P( closing | Deceptive Positive) = 2.87471971483e-05
P( closing | Truthful Negative) = 3.86301740289e-05
P( closing | Truthful Positive) = 2.63289539507e-05
P( didnt | Deceptive Negative) = 5.84624378837e-05
P( didnt | Deceptive Positive) = 0.000114988788593
P( didnt | Truthful Negative) = 9.65754350723e-05
P( didnt | Truthful Positive) = 0.000131644769753
P( unpacking | Deceptive Negative) = 1.94874792946e-05
P( unpacking | Deceptive Positive) = 2.87471971483e-05
P( unpacking | Truthful Negative) = 3.86301740289e-05
P( unpacking | Truthful Positive) = 2.63289539507e-05
P( employe | Deceptive Negative) = 1.94874792946e-05
P( employe | Deceptive Positive) = 5.74943942966e-05
P( employe | Truthful Negative) = 1.93150870145e-05
P( employe | Truthful Positive) = 2.63289539507e-05
P( reserved | Deceptive Negative) = 0.000389749585891
P( reserved | Deceptive Positive) = 8.62415914448e-05
P( reserved | Truthful Negative) = 0.00017383578313
P( reserved | Truthful Positive) = 2.63289539507e-05
P( snacks | Deceptive Negative) = 3.89749585891e-05
P( snacks | Deceptive Positive) = 5.74943942966e-05
P( snacks | Truthful Negative) = 5.79452610434e-05
P( snacks | Truthful Positive) = 7.8986861852e-05
P( effectively | Deceptive Negative) = 1.94874792946e-05
P( effectively | Deceptive Positive) = 2.87471971483e-05
P( effectively | Truthful Negative) = 1.93150870145e-05
P( effectively | Truthful Positive) = 5.26579079013e-05
P( overtly | Deceptive Negative) = 1.94874792946e-05
P( overtly | Deceptive Positive) = 2.87471971483e-05
P( overtly | Truthful Negative) = 1.93150870145e-05
P( overtly | Truthful Positive) = 5.26579079013e-05
P( noises | Deceptive Negative) = 7.79499171782e-05
P( noises | Deceptive Positive) = 2.87471971483e-05
P( noises | Truthful Negative) = 7.72603480579e-05
P( noises | Truthful Positive) = 2.63289539507e-05
P( dinners | Deceptive Negative) = 1.94874792946e-05
P( dinners | Deceptive Positive) = 2.87471971483e-05
P( dinners | Truthful Negative) = 1.93150870145e-05
P( dinners | Truthful Positive) = 5.26579079013e-05
P( danishes | Deceptive Negative) = 1.94874792946e-05
P( danishes | Deceptive Positive) = 2.87471971483e-05
P( danishes | Truthful Negative) = 1.93150870145e-05
P( danishes | Truthful Positive) = 5.26579079013e-05
P( rehabbed | Deceptive Negative) = 1.94874792946e-05
P( rehabbed | Deceptive Positive) = 2.87471971483e-05
P( rehabbed | Truthful Negative) = 1.93150870145e-05
P( rehabbed | Truthful Positive) = 5.26579079013e-05
P( lamp | Deceptive Negative) = 3.89749585891e-05
P( lamp | Deceptive Positive) = 8.62415914448e-05
P( lamp | Truthful Negative) = 3.86301740289e-05
P( lamp | Truthful Positive) = 5.26579079013e-05
P( stock | Deceptive Negative) = 3.89749585891e-05
P( stock | Deceptive Positive) = 2.87471971483e-05
P( stock | Truthful Negative) = 1.93150870145e-05
P( stock | Truthful Positive) = 2.63289539507e-05
P( profile | Deceptive Negative) = 3.89749585891e-05
P( profile | Deceptive Positive) = 5.74943942966e-05
P( profile | Truthful Negative) = 3.86301740289e-05
P( profile | Truthful Positive) = 2.63289539507e-05
P( buildings | Deceptive Negative) = 1.94874792946e-05
P( buildings | Deceptive Positive) = 2.87471971483e-05
P( buildings | Truthful Negative) = 3.86301740289e-05
P( buildings | Truthful Positive) = 5.26579079013e-05
P( incompetence | Deceptive Negative) = 3.89749585891e-05
P( incompetence | Deceptive Positive) = 2.87471971483e-05
P( incompetence | Truthful Negative) = 3.86301740289e-05
P( incompetence | Truthful Positive) = 2.63289539507e-05
P( youve | Deceptive Negative) = 1.94874792946e-05
P( youve | Deceptive Positive) = 8.62415914448e-05
P( youve | Truthful Negative) = 1.93150870145e-05
P( youve | Truthful Positive) = 2.63289539507e-05
P( collection | Deceptive Negative) = 3.89749585891e-05
P( collection | Deceptive Positive) = 2.87471971483e-05
P( collection | Truthful Negative) = 1.93150870145e-05
P( collection | Truthful Positive) = 2.63289539507e-05
P( bothered | Deceptive Negative) = 9.74373964728e-05
P( bothered | Deceptive Positive) = 2.87471971483e-05
P( bothered | Truthful Negative) = 7.72603480579e-05
P( bothered | Truthful Positive) = 5.26579079013e-05
P( preferred | Deceptive Negative) = 1.94874792946e-05
P( preferred | Deceptive Positive) = 5.74943942966e-05
P( preferred | Truthful Negative) = 0.000115890522087
P( preferred | Truthful Positive) = 7.8986861852e-05
P( terrier | Deceptive Negative) = 3.89749585891e-05
P( terrier | Deceptive Positive) = 2.87471971483e-05
P( terrier | Truthful Negative) = 1.93150870145e-05
P( terrier | Truthful Positive) = 2.63289539507e-05
P( dancers,actors | Deceptive Negative) = 1.94874792946e-05
P( dancers,actors | Deceptive Positive) = 5.74943942966e-05
P( dancers,actors | Truthful Negative) = 1.93150870145e-05
P( dancers,actors | Truthful Positive) = 2.63289539507e-05
P( lines | Deceptive Negative) = 3.89749585891e-05
P( lines | Deceptive Positive) = 2.87471971483e-05
P( lines | Truthful Negative) = 3.86301740289e-05
P( lines | Truthful Positive) = 5.26579079013e-05
P( liner | Deceptive Negative) = 1.94874792946e-05
P( liner | Deceptive Positive) = 2.87471971483e-05
P( liner | Truthful Negative) = 3.86301740289e-05
P( liner | Truthful Positive) = 2.63289539507e-05
P( nastily | Deceptive Negative) = 1.94874792946e-05
P( nastily | Deceptive Positive) = 2.87471971483e-05
P( nastily | Truthful Negative) = 3.86301740289e-05
P( nastily | Truthful Positive) = 2.63289539507e-05
P( linen | Deceptive Negative) = 3.89749585891e-05
P( linen | Deceptive Positive) = 2.87471971483e-05
P( linen | Truthful Negative) = 3.86301740289e-05
P( linen | Truthful Positive) = 5.26579079013e-05
P( chief | Deceptive Negative) = 1.94874792946e-05
P( chief | Deceptive Positive) = 2.87471971483e-05
P( chief | Truthful Negative) = 1.93150870145e-05
P( chief | Truthful Positive) = 5.26579079013e-05
P( furious | Deceptive Negative) = 3.89749585891e-05
P( furious | Deceptive Positive) = 2.87471971483e-05
P( furious | Truthful Negative) = 7.72603480579e-05
P( furious | Truthful Positive) = 2.63289539507e-05
P( subsequently | Deceptive Negative) = 1.94874792946e-05
P( subsequently | Deceptive Positive) = 2.87471971483e-05
P( subsequently | Truthful Negative) = 3.86301740289e-05
P( subsequently | Truthful Positive) = 2.63289539507e-05
P( lined | Deceptive Negative) = 3.89749585891e-05
P( lined | Deceptive Positive) = 5.74943942966e-05
P( lined | Truthful Negative) = 1.93150870145e-05
P( lined | Truthful Positive) = 2.63289539507e-05
P( unmade | Deceptive Negative) = 3.89749585891e-05
P( unmade | Deceptive Positive) = 2.87471971483e-05
P( unmade | Truthful Negative) = 1.93150870145e-05
P( unmade | Truthful Positive) = 2.63289539507e-05
P( bartenders | Deceptive Negative) = 1.94874792946e-05
P( bartenders | Deceptive Positive) = 2.87471971483e-05
P( bartenders | Truthful Negative) = 5.79452610434e-05
P( bartenders | Truthful Positive) = 2.63289539507e-05
P( getgo | Deceptive Negative) = 1.94874792946e-05
P( getgo | Deceptive Positive) = 2.87471971483e-05
P( getgo | Truthful Negative) = 3.86301740289e-05
P( getgo | Truthful Positive) = 2.63289539507e-05
P( institutional | Deceptive Negative) = 1.94874792946e-05
P( institutional | Deceptive Positive) = 2.87471971483e-05
P( institutional | Truthful Negative) = 3.86301740289e-05
P( institutional | Truthful Positive) = 2.63289539507e-05
P( in-house | Deceptive Negative) = 3.89749585891e-05
P( in-house | Deceptive Positive) = 2.87471971483e-05
P( in-house | Truthful Negative) = 3.86301740289e-05
P( in-house | Truthful Positive) = 2.63289539507e-05
P( despite | Deceptive Negative) = 0.000331287148007
P( despite | Deceptive Positive) = 2.87471971483e-05
P( despite | Truthful Negative) = 0.000328356479246
P( despite | Truthful Positive) = 7.8986861852e-05
P( meter | Deceptive Negative) = 1.94874792946e-05
P( meter | Deceptive Positive) = 2.87471971483e-05
P( meter | Truthful Negative) = 3.86301740289e-05
P( meter | Truthful Positive) = 2.63289539507e-05
